Theme Configuration,Thema Konfiguration
Footer Company Address,Fußzeile Firmenadresse
This address is set as Industryarc Theme footer company information address,Diese Adresse ist als Firmenadresse für die Fußzeile des Industryarc-Themas festgelegt
Footer Company Email Address,Fußzeile E-Mail Adresse des Unternehmens
This email address is set as Industryarc Theme footer company information email address,Diese E-Mail-Adresse ist als Industryarc Theme Fußzeile Unternehmensinformationen E-Mail-Adresse eingestellt
Footer Company Contact Number,Fußzeile Kontakt Nummer des Unternehmens
This contact number is set as Industryarc Theme footer company information contact number,Diese Kontakt Nummer ist in der Fußzeile des Industryarc-Themas als Kontakt Nummer für Firmeninformationen angegeben
Store Location,Standort der Filiale
Store Locator,Laden-Finder
Download App,App herunterladen
Bottom Ad Popup Configuration,Konfiguration des unteren Anzeigen-Popups
Enable Bottom Ad Popup,Bottom Ad Popup aktivieren
Ad Popup Image,Anzeigen Popup Bild
Ad Popup Background Color,Anzeigen Popup Hintergrundfarbe
Ad Popup Url,Anzeige Popup Url
Enter Ad Popup Image URL,Anzeigen Popup Bild URL eingeben
"In product detail page, there is only 3 social media sharing options are supported (Facebook, Twitter and Whatsapp)","Auf der Produktdetailseite werden nur 3 Optionen für die Weitergabe in sozialen Medien unterstützt (Facebook, Twitter und Whatsapp)"
"This value is enable the primary block overlay with homepage header (primary custom block moving to background of header)","Mit diesem Wert wird die Überlagerung des primären Blocks mit der Kopfzeile der Homepage aktiviert (der primäre benutzerdefinierte Block wird in den Hintergrund der Kopfzeile verschoben)"
"This color is set as the background color for the images that have only a transparent background","Diese Farbe wird als Hintergrundfarbe für die Bilder festgelegt, die nur einen transparenten Hintergrund haben"
